artist_id,id,country_code,channel_slug,retailer,sellable_type,sellable_id,period,Total,year_month
148199,792394032,PA,streaming,Youtube Ad Supported,Track,537295,07/02/2024 00:00:00,"0,000601888",2024-02
148199,628062085,LB,streaming,Anghami,Track,531989,01/12/2021 00:00:00,"0,010949961",2021-12
148199,628062105,IQ,streaming,Anghami,Track,517678,01/01/2022 00:00:00,"0,006940841",2022-01
148199,628062106,SA,streaming,Anghami,Track,531989,01/09/2021 00:00:00,"0,006082421",2021-09
148199,792394049,BR,streaming,Youtube Ad Supported,Track,537281,26/02/2024 00:00:00,"0,000012478",2024-02
148199,628366936,EG,streaming,Anghami,Track,532893,01/09/2021 00:00:00,"0,021899923",2021-09
148199,638050130,AR,streaming,Youtube Music,Track,532676,09/06/2023 00:00:00,"0,000843206",2023-06
148199,637866307,ZA,streaming,Youtube Music,Track,537462,27/06/2023 00:00:00,"0,002163713",2023-06
148199,625911999,PL,streaming,Youtube Music,Track,518373,20/07/2023 00:00:00,"0,004004057",2023-07
148199,637866372,SE,streaming,Youtube Music,Track,532209,13/06/2023 00:00:00,"0,014006807",2023-06
148199,637866381,SE,streaming,Youtube Music,Track,537449,13/06/2023 00:00:00,"0,007174972",2023-06
148199,637866399,AU,streaming,Youtube Music,Track,517867,05/06/2023 00:00:00,"0,020833763",2023-06
148199,637866400,DE,streaming,Youtube Music,Track,537438,18/06/2023 00:00:00,"0,01700966",2023-06
148199,638007241,CA,streaming,Youtube Music,Track,537287,14/06/2023 00:00:00,"0,004472974",2023-06
148199,628062215,LB,streaming,Anghami,Track,517678,01/12/2021 00:00:00,"0,131399537",2021-12
148199,638007299,ID,streaming,Youtube Music,Track,537462,29/06/2023 00:00:00,"0,003132139",2023-06
148199,637175716,IL,streaming,YouTube_User Generated Content,Track,531929,01/08/2021 00:00:00,0,2021-08
148199,628062241,AE,streaming,Anghami,Track,531616,01/12/2021 00:00:00,"0,032849884",2021-12
148199,628272028,OM,streaming,Anghami,Track,519008,01/10/2021 00:00:00,"0,010949961",2021-10
148199,637822429,AR,streaming,Youtube Music,Track,532422,22/06/2023 00:00:00,"0,000843206",2023-06
148199,628062271,SA,streaming,Anghami,Track,531616,01/11/2021 00:00:00,"0,010949961",2021-11
148199,637822473,CA,streaming,Youtube Music,Track,531626,05/06/2023 00:00:00,"0,007984839",2023-06
148199,628272051,SA,streaming,Anghami,Track,519008,01/10/2021 00:00:00,"0,416098533",2021-10
148199,757893311,SE,streaming,YouTube Music,Track,517845,01/05/2021 00:00:00,"0,009630605",2021-05
148199,638050439,PH,streaming,Youtube Music,Track,537410,12/06/2023 00:00:00,"0,001316441",2023-06
148199,628062319,QA,streaming,Anghami,Track,517678,01/12/2021 00:00:00,"0,004636625",2021-12
148199,793242718,TR,streaming,Dogan Turkey,Track,518481,01/05/2022 00:00:00,"-0,007358861",2022-05
148199,673343442,CL,streaming,YouTube_User Generated Content,Track,531387,01/10/2021 00:00:00,"0,000342054",2021-10
148199,644458601,US,streaming,Spotify,Track,532437,01/05/2022 00:00:00,"1,95706458",2022-05
148199,628062365,LB,streaming,Anghami,Track,531616,01/12/2021 00:00:00,"0,010949961",2021-12
148199,673343495,CR,streaming,YouTube_User Generated Content,Track,531387,01/11/2021 00:00:00,"0,001846132",2021-11
148199,644458666,US,streaming,Spotify,Track,532583,01/04/2022 00:00:00,"0,21701963",2022-04
148199,637866838,GB,streaming,Youtube Music,Track,517876,21/06/2023 00:00:00,"0,014112513",2023-06
148199,628062434,MA,streaming,Anghami,Track,531616,01/12/2021 00:00:00,"0,008317058",2021-12
148199,637822963,BR,streaming,Youtube Music,Track,532478,23/06/2023 00:00:00,"0,001306684",2023-06
148199,637822964,US,streaming,Youtube Music,Track,532877,21/06/2023 00:00:00,"0,012030925",2023-06
148199,673343572,PE,streaming,YouTube_User Generated Content,Track,531387,01/11/2021 00:00:00,"0,000052706",2021-11
148199,638495920,DE,streaming,Amazon Unlimited,Track,518074,01/01/2022 00:00:00,"0,010735665",2022-01
148199,637867020,UA,streaming,Youtube Music,Track,517990,18/06/2023 00:00:00,"0,000885488",2023-06
148199,644749494,US,streaming,Spotify,Track,531671,01/05/2022 00:00:00,"1,603933157",2022-05
148199,637823421,US,streaming,Youtube Music,Track,531626,19/06/2023 00:00:00,"0,029039771",2023-06
148199,638007859,US,streaming,Youtube Music,Track,531498,09/06/2023 00:00:00,"0,0481237",2023-06
148199,638051114,CA,streaming,Youtube Music,Track,537434,21/06/2023 00:00:00,"0,004472974",2023-06
148199,638051149,AU,streaming,Youtube Music,Track,517816,04/06/2023 00:00:00,"0,010416882",2023-06
148199,644749570,US,streaming,Spotify,Track,531344,01/04/2022 00:00:00,"0,273076361",2022-04
148199,628062691,AE,streaming,Anghami,Track,531616,01/02/2022 00:00:00,"0,010949961",2022-02
148199,644749593,US,streaming,Spotify,Track,532478,01/05/2022 00:00:00,"0,307070802",2022-05
148199,644459021,US,streaming,Spotify,Track,532583,01/05/2022 00:00:00,"0,237468087",2022-05
148199,637867264,CA,streaming,Youtube Music,Track,537434,25/06/2023 00:00:00,"0,008945947",2023-06
148199,672672378,SG,streaming,Soundtrack Your Brand,Track,531882,01/02/2022 00:00:00,"0,01102696",2022-02
148199,638303365,DE,streaming,Amazon Unlimited,Track,517990,01/10/2021 00:00:00,"0,096620983",2021-10
148199,625912547,DE,streaming,Youtube Music,Track,537410,17/07/2023 00:00:00,"0,006853721",2023-07
148199,636138679,MX,streaming,Trebel,Track,519030,01/08/2021 00:00:00,"0,004112392",2021-08
148199,636406687,MX,streaming,Trebel,Track,532522,01/12/2021 00:00:00,"0,001704358",2021-12
148199,637867449,US,streaming,Youtube Music,Track,518234,08/06/2023 00:00:00,"0,002976833",2023-06
148199,625912587,AU,streaming,Youtube Music,Track,537410,19/07/2023 00:00:00,"0,021166985",2023-07
148199,636138817,MX,streaming,Trebel,Track,518723,01/01/2022 00:00:00,"0,002741595",2022-01
148199,638004337,MX,streaming,Youtube Music,Track,517796,17/06/2023 00:00:00,"0,008219018",2023-06
148199,625912620,US,streaming,Youtube Music,Track,518470,09/07/2023 00:00:00,"0,013091368",2023-07
148199,627535894,BR,streaming,Kuaishou Ex CN Technology Ltd Company,Track,517926,01/11/2021 00:00:00,"0,003304656",2021-11
148199,637821959,NO,streaming,Youtube Music,Track,537427,05/06/2023 00:00:00,"0,008762182",2023-06
148199,637821962,FR,streaming,Youtube Music,Track,537473,28/06/2023 00:00:00,"0,007836852",2023-06
148199,637867677,MX,streaming,Youtube Music,Track,537449,26/06/2023 00:00:00,"0,003195562",2023-06
148199,625912653,AU,streaming,Youtube Music,Track,537410,19/07/2023 00:00:00,"0,005195191",2023-07
148199,635119156,US,streaming,Youtube Music,Track,518385,19/09/2023 00:00:00,"0,00552983",2023-09
148199,626366727,AL,streaming,SnapChat TrueUp,Track,531148,01/06/2021 00:00:00,"0,001836341",2021-06
148199,627536075,CN,streaming,Tencent (WMC-HK)_(6150),Track,518738,01/02/2022 00:00:00,"0,001532469",2022-02
148199,636139791,US,streaming,"M & M MEDIA, INC.",Track,518293,01/12/2021 00:00:00,"0,008322109",2021-12
148199,644413819,US,streaming,Spotify,Track,531658,01/05/2022 00:00:00,"0,147393985",2022-05
148199,628367682,KW,streaming,Anghami,Track,519004,01/04/2022 00:00:00,"0,000721104",2022-04
148199,638005084,AU,streaming,Youtube Music,Track,532490,03/06/2023 00:00:00,"0,005119404",2023-06
148199,625912730,US,streaming,Youtube Music,Track,537449,03/07/2023 00:00:00,"0,021818947",2023-07
148199,628367685,EG,streaming,Anghami,Track,519004,01/04/2022 00:00:00,"0,47084834",2022-04
148199,628367691,TN,streaming,Anghami,Track,519004,01/03/2022 00:00:00,"0,003312345",2022-03
148199,758022899,CH,streaming,YouTube Music Me,Track,531352,01/09/2021 00:00:00,"0,000488562",2021-09
148199,637822327,US,streaming,Youtube Music,Track,517990,24/06/2023 00:00:00,"0,002976833",2023-06
148199,637822379,US,streaming,Youtube Music,Track,518713,24/06/2023 00:00:00,"0,008297078",2023-06
148199,625264861,TW,streaming,KKBOX International Ltd Taiwan,Track,515725,01/03/2022 00:00:00,"0,000028586",2022-03
148199,636490165,MX,streaming,Trebel,Track,530612,01/08/2021 00:00:00,"0,002741595",2021-08
148199,792394757,GB,streaming,Apple Music,Track,537321,02/02/2024 00:00:00,"0,005003655",2024-02
148199,673344513,TH,streaming,YouTube_User Generated Content,Track,532145,01/12/2021 00:00:00,"0,000542094",2021-12
148199,673344540,TW,streaming,YouTube_User Generated Content,Track,532145,01/11/2021 00:00:00,"0,003613147",2021-11
148199,757992785,CL,streaming,YouTube Music,Track,530916,01/08/2021 00:00:00,"0,006440161",2021-08
148199,628063360,LB,streaming,Anghami,Track,516872,01/10/2021 00:00:00,"0,032849884",2021-10
148199,634351892,AR,streaming,Youtube Music,Track,518750,28/08/2023 00:00:00,"0,000278138",2023-08
148199,637822533,HK,streaming,Youtube Music,Track,537410,25/06/2023 00:00:00,"0,009521636",2023-06
148199,628367794,QA,streaming,Anghami,Track,519004,01/05/2022 00:00:00,"0,142349498",2022-05
148199,625912840,AU,streaming,Youtube Music,Track,537427,13/07/2023 00:00:00,"0,010193853",2023-07
148199,792394812,GB,streaming,Apple Music,Track,537301,02/02/2024 00:00:00,"0,005114677",2024-02
148199,628063434,DZ,streaming,Anghami,Track,516872,01/01/2022 00:00:00,"0,00328598",2022-01
